231	2016-03-31 14:55:14	1	2	231	I	0	0
2365	2016-03-31 16:20:44	1	2	2365	I	0	0
2366	2016-03-31 16:20:46	1	2	2366	I	0	0
2367	2016-03-31 16:20:51	1	2	2367	I	0	0
2368	2016-03-31 16:20:53	1	2	2368	I	0	0
2369	2016-03-31 16:20:56	1	2	2369	I	0	0
2370	2016-03-31 16:20:58	1	2	2370	I	0	0
2371	2016-03-31 16:21:01	1	2	2371	I	0	0
2372	2016-03-31 16:21:04	1	2	2372	I	0	0
2373	2016-03-31 16:21:07	1	2	2373	I	0	0
2374	2016-03-31 16:21:09	1	2	2374	I	0	0
2375	2016-03-31 16:21:13	1	2	2375	I	0	0
2376	2016-03-31 16:21:15	1	2	2376	I	0	0
2377	2016-03-31 9:00:00	1	2	2377	I	0	0
231	2016-03-31 18:55:14	1	2	231	I	0	0
243	2016-03-31 18:55:17	1	2	243	I	0	0
